Order_ID,Customer_ID,Product_ID,Quantity,Order_Date,Order_Time,Delivery_Date,Delivery_Time,Location,Occasion
1,C037,67,5,24-02-2023,11.48.13 PM,05-03-2023,7.27.10 AM,Bardhaman,Anniversary
2,C019,41,2,07-11-2023,11.30.18 PM,13-11-2023,7.16.17 AM,Jaipur,Diwali
3,C029,67,5,14-07-2023,7.12.03 PM,19-07-2023,5.39.00 PM,Bilaspur,Anniversary
4,C012,14,5,10-07-2023,4.44.29 AM,19-07-2023,6.33.23 AM,Guwahati,Birthday
5,C078,58,2,11-02-2023,7.44.48 PM,18-02-2023,11.08.52 AM,Rajkot,Valentine's Day
6,C040,28,4,20-08-2023,10.11.35 PM,26-08-2023,7.06.46 PM,Sirsa,Raksha Bandhan
7,C009,45,2,08-05-2023,1.45.13 AM,13-05-2023,10.07.17 AM,Nanded,Birthday
8,C097,43,3,08-11-2023,7.20.02 PM,14-11-2023,8.44.45 AM,Morena,Diwali
9,C044,27,4,20-08-2023,11.39.51 PM,29-08-2023,11.59.54 PM,Rajkot,Raksha Bandhan
10,C099,56,3,26-02-2023,12.17.26 AM,08-03-2023,8.47.43 PM,Ambala,Anniversary
11,C065,16,4,02-03-2023,8.14.55 PM,03-03-2023,11.19.47 PM,Belgaum,Holi
12,C097,38,3,12-07-2023,8.28.56 AM,20-07-2023,11.34.57 PM,Karnal,Birthday
13,C024,20,3,24-02-2023,4.47.16 PM,04-03-2023,2.27.37 AM,Gandhidham,Anniversary
14,C042,60,1,08-11-2023,3.46.06 AM,15-11-2023,12.08.02 PM,Bilaspur,Diwali
15,C069,21,5,26-08-2023,2.52.39 AM,30-08-2023,1.26.45 PM,Pune,Raksha Bandhan
16,C013,20,3,16-02-2023,3.06.11 PM,20-02-2023,10.14.21 PM,Khammam,Anniversary
17,C056,60,2,04-11-2023,11.31.33 AM,13-11-2023,6.40.13 PM,Kota,Diwali
18,C072,23,4,10-12-2023,10.46.15 AM,11-12-2023,12.20.29 AM,Moradabad,Anniversary
19,C072,62,4,07-03-2023,7.59.48 AM,08-03-2023,3.04.34 AM,Vijayanagaram,Holi
20,C011,52,1,11-02-2023,2.36.57 PM,14-02-2023,1.34.16 AM,Madurai,Valentine's Day
21,C090,32,1,09-02-2023,11.20.52 AM,12-02-2023,11.36.26 AM,Bathinda,Birthday
22,C054,43,1,09-11-2023,1.05.28 AM,14-11-2023,9.49.47 AM,Tenali,Diwali
23,C041,12,3,05-05-2023,5.28.33 AM,06-05-2023,12.12.24 PM,Ludhiana,Anniversary
24,C018,42,3,25-07-2023,5.10.42 AM,03-08-2023,7.57.35 AM,Durg,All Occasions
25,C091,30,3,21-07-2023,10.46.57 AM,24-07-2023,2.28.42 PM,Panipat,Anniversary
26,C040,6,3,06-03-2023,5.03.06 AM,12-03-2023,6.06.11 AM,Amroha,Holi
27,C063,9,2,22-08-2023,11.16.28 AM,30-08-2023,7.59.12 AM,Raipur,Raksha Bandhan
28,C088,42,3,05-05-2023,3.25.25 AM,10-05-2023,7.55.04 AM,Guwahati,All Occasions
29,C064,10,5,22-09-2023,1.06.22 AM,01-10-2023,2.29.16 PM,Kollam,Birthday
30,C044,23,4,13-01-2023,9.23.33 AM,15-01-2023,1.36.58 PM,Bulandshahr,Anniversary
31,C029,7,5,28-02-2023,1.13.22 PM,03-03-2023,11.35.49 PM,Nandyal,Holi
32,C065,7,5,04-03-2023,3.36.41 PM,05-03-2023,3.54.10 PM,Pudukkottai,Holi
33,C047,8,3,15-04-2023,1.37.27 AM,25-04-2023,2.13.27 AM,Amroha,Anniversary
34,C071,17,2,01-10-2023,10.58.15 PM,05-10-2023,5.36.46 AM,Tirupati,Anniversary
35,C055,7,5,02-03-2023,4.10.26 PM,05-03-2023,3.00.40 PM,Asansol,Holi
36,C029,66,1,04-03-2023,10.28.53 AM,14-03-2023,8.14.49 AM,New Delhi,Holi
37,C096,19,5,10-02-2023,11.01.04 AM,15-02-2023,9.19.36 PM,Katni,Valentine's Day
38,C067,37,3,11-11-2023,12.30.28 PM,14-11-2023,12.24.51 PM,Indore,Diwali
39,C054,43,2,02-11-2023,7.25.58 PM,04-11-2023,1.28.42 PM,Vellore,Diwali
40,C066,48,4,02-11-2023,2.15.10 PM,05-11-2023,4.29.54 AM,Raiganj,Diwali
41,C047,54,4,08-06-2023,7.19.50 PM,10-06-2023,2.29.42 PM,Saharsa,Anniversary
42,C080,35,1,26-02-2023,12.08.38 AM,07-03-2023,5.18.28 PM,Faridabad,Holi
43,C046,49,3,12-02-2023,10.31.16 PM,16-02-2023,2.47.47 AM,Sambalpur,Valentine's Day
44,C006,14,1,17-07-2023,9.57.56 PM,27-07-2023,10.48.09 AM,Bhavnagar,Birthday
45,C097,61,5,28-04-2023,2.26.26 PM,29-04-2023,6.16.36 AM,Haldia,Anniversary
46,C059,22,4,18-04-2023,3.21.11 AM,23-04-2023,8.02.45 AM,Guna,All Occasions
47,C013,7,5,26-02-2023,1.04.28 PM,28-02-2023,6.00.20 AM,Jaipur,Holi
48,C031,65,4,12-11-2023,8.00.30 PM,16-11-2023,5.31.42 AM,Delhi,All Occasions
49,C020,43,1,11-11-2023,5.44.30 PM,18-11-2023,1.49.52 PM,Nangloi Jat,Diwali
50,C014,41,4,09-11-2023,6.56.33 AM,16-11-2023,10.19.22 AM,Jamalpur,Diwali
51,C036,10,1,15-03-2023,9.23.49 AM,19-03-2023,4.46.40 PM,Agartala,Birthday
52,C023,9,1,29-08-2023,7.55.22 PM,07-09-2023,4.22.02 AM,Hospet,Raksha Bandhan
53,C045,9,5,20-08-2023,8.25.45 AM,27-08-2023,5.59.31 AM,Kozhikode,Raksha Bandhan
54,C059,30,1,13-04-2023,9.55.01 AM,23-04-2023,2.30.59 PM,Ratlam,Anniversary
55,C040,5,1,08-02-2023,8.01.07 AM,13-02-2023,7.42.58 AM,Kottayam,All Occasions
56,C095,58,5,08-02-2023,12.11.48 PM,13-02-2023,6.51.59 PM,Danapur,Valentine's Day
57,C090,35,5,26-02-2023,8.00.15 AM,06-03-2023,12.27.32 PM,Ahmedabad,Holi
58,C077,36,1,06-01-2023,2.51.30 AM,15-01-2023,8.26.18 AM,Amravati,Birthday
59,C041,51,5,26-06-2023,3.56.15 AM,28-06-2023,8.10.04 PM,Thiruvananthapuram,All Occasions
60,C023,5,2,13-12-2023,6.46.45 AM,15-12-2023,1.03.56 PM,Darbhanga,All Occasions
61,C058,44,2,08-11-2023,10.26.25 PM,10-11-2023,8.08.31 AM,Panihati,Diwali
62,C074,6,4,02-03-2023,3.30.51 PM,06-03-2023,11.51.40 PM,Jorhat,Holi
63,C056,42,3,25-06-2023,6.22.38 AM,26-06-2023,3.40.04 PM,Munger,All Occasions
64,C015,25,1,12-06-2023,2.48.39 AM,15-06-2023,10.05.41 PM,Chittoor,Anniversary
65,C033,54,2,01-09-2023,1.02.28 PM,11-09-2023,6.33.52 AM,Berhampur,Anniversary
66,C017,35,5,26-02-2023,9.00.44 PM,27-02-2023,6.25.58 AM,Munger,Holi
67,C047,10,2,06-07-2023,5.28.21 PM,14-07-2023,9.11.01 PM,Thrissur,Birthday
68,C050,34,4,25-08-2023,10.43.58 PM,31-08-2023,9.31.14 PM,Ahmedabad,Raksha Bandhan
69,C091,12,4,02-09-2023,7.21.41 PM,08-09-2023,9.30.02 AM,Hyderabad,Anniversary
70,C037,17,1,28-09-2023,4.21.09 AM,03-10-2023,11.44.33 AM,Vijayanagaram,Anniversary
71,C013,9,5,20-08-2023,4.32.06 PM,28-08-2023,1.31.32 PM,Karnal,Raksha Bandhan
72,C058,26,3,03-03-2023,3.49.26 PM,12-03-2023,5.34.10 PM,Bally,Holi
73,C057,26,1,03-03-2023,12.52.36 PM,11-03-2023,1.28.36 AM,Farrukhabad,Holi
74,C024,31,3,01-01-2023,8.55.22 PM,07-01-2023,9.02.03 AM,Shivpuri,All Occasions
75,C009,65,2,06-04-2023,11.10.24 AM,09-04-2023,11.00.34 PM,Bally,All Occasions
76,C054,4,1,09-11-2023,5.13.11 AM,12-11-2023,12.34.50 AM,Anand,Diwali
77,C028,42,3,05-08-2023,1.07.11 AM,13-08-2023,4.20.52 PM,Kanpur,All Occasions
78,C062,11,2,04-02-2023,1.00.09 PM,08-02-2023,8.31.15 PM,Pallavaram,Valentine's Day
79,C010,40,2,01-06-2023,5.29.30 PM,11-06-2023,7.34.53 AM,Varanasi,Anniversary
80,C008,39,4,02-01-2023,11.07.02 AM,11-01-2023,2.05.50 AM,Salem,All Occasions
81,C053,1,5,22-02-2023,6.29.21 PM,03-03-2023,7.09.32 AM,Kalyan-Dombivli,All Occasions
82,C038,70,3,04-08-2023,10.02.05 PM,05-08-2023,2.08.13 PM,Gwalior,Birthday
83,C036,27,4,23-08-2023,7.12.01 PM,02-09-2023,2.44.00 PM,Asansol,Raksha Bandhan
84,C032,47,1,04-03-2023,3.31.50 AM,06-03-2023,7.02.20 AM,Tirupati,Holi
85,C041,26,2,04-03-2023,9.35.20 PM,14-03-2023,2.48.22 PM,Agra,Holi
86,C046,39,4,13-09-2023,11.27.49 AM,22-09-2023,2.09.30 PM,Sirsa,All Occasions
87,C055,2,5,04-02-2023,1.17.21 PM,11-02-2023,11.06.36 PM,Malda,Valentine's Day
88,C008,15,4,22-12-2023,10.02.31 AM,01-01-2024,12.17.55 PM,Avadi,Anniversary
89,C060,3,5,12-02-2023,10.56.52 PM,13-02-2023,2.41.41 PM,Aurangabad,Valentine's Day
90,C088,41,3,09-11-2023,8.54.16 PM,18-11-2023,5.48.35 PM,Shahjahanpur,Diwali
91,C061,6,2,27-02-2023,1.52.56 PM,05-03-2023,1.23.25 PM,Mahbubnagar,Holi
92,C100,18,5,15-05-2023,12.11.18 AM,25-05-2023,11.17.55 AM,Rohtak,Birthday
93,C047,24,4,01-05-2023,5.50.59 PM,03-05-2023,6.35.56 PM,Warangal,Birthday
94,C099,69,5,02-03-2023,2.51.08 PM,11-03-2023,8.14.49 AM,Purnia,Holi
95,C039,70,4,29-05-2023,7.54.41 AM,03-06-2023,7.16.33 AM,Narasaraopet,Birthday
96,C099,25,3,14-03-2023,3.00.21 PM,23-03-2023,8.56.06 AM,Latur,Anniversary
97,C041,41,1,03-11-2023,8.11.32 PM,08-11-2023,1.35.25 AM,Bhavnagar,Diwali
98,C031,8,1,30-10-2023,3.26.00 PM,01-11-2023,4.34.28 PM,Bulandshahr,Anniversary
99,C050,38,3,04-11-2023,2.00.46 PM,05-11-2023,3.44.38 PM,Burhanpur,Birthday
